interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_266,Calderón Vega 2002,Espiritu Santo Island Antelope Squirrel,Ammospermophilus insularis,scat,Ammospermophilus insularis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus insularis,
int_089,Calderón Vega 2002,Black-throated sparrow,Amphispiza belineata,scat,Amphispiza bilineata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,Amphispiza bilineata,
int_530,Calderón Vega 2002,Queen's jewels,Antigonon leptopus,scat,Antigonon leptopus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,Antigonon leptopus,
int_042,Calderón Vega 2002,Bee,Hymenoptera Apidae,scat,Apidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x,
int_637,Calderón Vega 2002,Sunflower,Compositae,scat,Asteraceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asterceae,x,x,
int_006,Calderón Vega 2002,American cockroach,Orthoptera Blatidae,scat,Blatidae,ITIS,family,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,x,x,
int_635,Calderón Vega 2002,Strongbark,Bourrera sonorae,scat,Bourreria sonorae,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Bourreriea,Bourreria sonorae,
int_541,Calderón Vega 2002,Red elephant tree,Bursera hindstana,scat,Bursera hindsiana,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bersera,Bursera hindsiana,
int_122,Calderón Vega 2002,Cactus,Cactacea,scat,Cactacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactacea,x,x,
int_338,Calderón Vega 2002,Ground beetle,Coleoptera Carabidae,scat,Carabidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,x,x,
int_367,Calderón Vega 2002,Hornbeam,Carpinus capra,scat,Carpinus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,x,
int_036,Calderón Vega 2002,Baja calfornia crucifixion thorn,Castela peninsularis,scat,Castela peninsularis,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Castela,Castela peninsularis,
int_625,Calderón Vega 2002,Spiny pocket mouse,Chaetodipus spinatus,scat,Chaetodipus spinatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus spinatus,
int_179,Calderón Vega 2002,Variable sandsnake,Chilomeiscus punctatissmus,scat,Chilomeniscus stramineus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Chilomeniscus,Chilomeniscus stramineus,
int_156,Calderón Vega 2002,Centipede,Chilopoda,scat,Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x,
int_403,Calderón Vega 2002,Leaf beetle,Coleoptera Chrysomelidae,scat,Chrysomelidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,x,x,
int_735,Calderón Vega 2002,n/a,Homoptera Cicadidae,scat,Cicadidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,x,x,
int_180,Calderón Vega 2002,Whiptail,Cenemidophorus spp.,scat,Cnemidophorus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,x,
int_401,Calderón Vega 2002,Ladybug,Coleoptera Caccinellidae,scat,Coccinellidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,x,x,
int_173,Calderón Vega 2002,Racer,Masticophis spp.,scat,Coluber,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,x,
int_080,Calderón Vega 2002,Bitter snakewood,Condalia globosa,scat,Condalia globosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,Condalia globosa,
int_736,Calderón Vega 2002,n/a,Cordia brevisptoata,scat,Cordia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,x,
int_174,Calderón Vega 2002,Rattlesnake,Crotalus spp.,scat,Crotalus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,x,
int_208,Calderón Vega 2002,Crustacean,Crustacea,scat,Crustacea,ITIS,subphylum,Animalia,Arthropoda,x,x,x,x,x,
